ID;firstName;lastName;email;phone;expertise;workload
7659bf28-4ce9-49b0-adbd-b703719da021;Victor Charlie Sierra;Kilo Java;Yankee Whiskey;Uniform Whiskey Lima;Hotel Romeo;116
771e4a87-9cca-4536-8472-3c9a0e74e225;Quebec;Victor Delta;Juliett Uniform;Whiskey;Foxtrot Golf;892
419d2b18-5bb5-474c-82cd-62539eaa5f69;Romeo Quebec;Kilo Echo;Mike Yankee;Zulu;Yankee;440
86a29e08-e1bc-4f67-a580-be647721acf0;X-ray Java Foxtrot;Uniform Juliett Golf;Kilo;Oscar Quebec Tango;Charlie Delta;628
3a294930-a6b6-4dfe-9c60-d459c7152b8f;Bravo;Whiskey;Oscar November Yankee;Tango Mike;X-ray Java Foxtrot;586
3e6815cd-b531-4973-bafa-edf6e6b61594;Victor;Oscar Zulu Mike;Lima;Mike Zulu Echo;Alfa Quebec X-ray;21
1ab75ff4-dc46-442b-9bbe-fcfa59c3dcc9;X-ray Tango;Quebec Hotel;X-ray Charlie;Uniform;Quebec Golf November;336
b19f9e1c-05ac-45ac-926b-e83e8f0b2838;Bravo Sierra;Oscar Lima Mike;Uniform Quebec;X-ray Echo Lima;Bravo;339
29eac402-cbfc-4ad1-b71d-eda894070edb;Charlie India Echo;Java;November Sierra Quebec;Echo;Java Hotel Zulu;154
1d209727-d21b-4ce6-8cd0-7ec833753f4d;Quebec Alfa;Delta Alfa Romeo;Lima Yankee;Delta Alfa;Oscar;259
