ID;firstName;lastName;email;phone
720664ff-ba30-4010-9a48-e3e3670cfd84;Yankee November Mike;Charlie Juliett Sierra;Victor Oscar Tango;Yankee
1c2dfd32-33a1-4daa-bfc9-816ce7891ce9;Yankee India Echo;Kilo November Uniform;Golf Uniform;Tango Charlie
87d84ed7-c470-4aa1-bc33-301e1a59deed;Mike;India;Whiskey Hotel;Golf Zulu
c0cd5194-7adf-46de-9e03-fdb198a1da09;Lima Mike;Java Zulu X-ray;Uniform;Charlie India Echo
dce32a5e-5cf1-4c07-a3f2-6a854b858c52;November;Zulu Sierra;Foxtrot Kilo;Hotel
107983cc-4734-4297-9d16-104344c39d45;X-ray Mike Zulu;Bravo;Sierra November Uniform;Uniform Yankee
8a83dd42-c17e-466c-bb13-b3515742e56c;November Delta;India;Java X-ray Uniform;Golf India
a4e449fe-dfba-4391-9811-8eb48e0b9186;Sierra;Romeo Delta;X-ray;Lima
303b6362-b55a-443f-ad65-4f1a44bcce0d;Sierra Zulu;Oscar Quebec Hotel;Mike Echo Tango;Hotel
97b63a1e-c320-4bc8-87b8-23e68ae2f06e;Bravo;Quebec;Romeo;Delta Romeo Sierra
